topic,term,type
Animal Welfare,frankenchicken,pattern
Religious & Political Diversity,freedom of religion,anchor term
Religious & Political Diversity,freedom of religion,pattern
LGBTQ+ Equality,gender affirming care,anchor term
LGBTQ+ Equality,gender affirming care,pattern
Gender Equity,gender equality,anchor term
Gender Equity,gender equality,pattern
Gender Equity,gender equity,anchor term
Gender Equity,gender equity,pattern
Gender Equity,gender gap,anchor term
Gender Equity,gender gap,pattern
Gender Equity,gender pay gap,anchor term
Gender Equity,gender pay gap,pattern
AI & Technology,Generative AI,anchor term
AI & Technology,generative ai,pattern
Elections & Administration,gerrymandering,anchor term
Elections & Administration,gerrymandering,pattern
Animal Welfare,Gestation crates,anchor term
Animal Welfare,gestation crates,pattern
International Reputational Risks,global human rights,anchor term
International Reputational Risks,global human rights,pattern
Health Access,health equity,anchor term
Health Access,health equity,pattern
Health Access,healthcare access,anchor term
Health Access,healthcare access,pattern
Health Access,healthcare affordability,anchor term
Health Access,healthcare affordability,pattern
Nutrition & Food access,hunger relief,anchor term
Nutrition & Food access,hunger relief,pattern
Climate Change & Sustainability,hurricane,anchor term
Climate Change & Sustainability,hurricane,pattern
Immigration,immigration reform,anchor term
Immigration,immigration reform,pattern
Racial Equity,inclusion,anchor term
Racial Equity,inclusion,pattern
Economic Empowerment,inflation,anchor term
Economic Empowerment,inflation,pattern
Drug Pricing,insulin costs,anchor term
Drug Pricing,insulin costs,pattern
Health Access,insurance coverage,anchor term
Health Access,insurance coverage,pattern
Religious & Political Diversity,interfaith dialogue,anchor term
Religious & Political Diversity,interfaith dialogue,pattern
International Reputational Risks,international labor standards,anchor term
International Reputational Risks,international labor standards,pattern
Economic Empowerment,internet access,anchor term
Economic Empowerment,internet access,pattern
Workers’ Rights,labor compliance,anchor term
Workers’ Rights,labor compliance,pattern
Workers’ Rights,labor day,anchor term
Workers’ Rights,labor day,pattern
Workers’ Rights,labor standards,anchor term
Workers’ Rights,labor standards,pattern
Workers’ Rights,Labor Union Partnerships,anchor term
Workers’ Rights,labor union partnerships,pattern
Crime & Safety,law enforcement,anchor term
Crime & Safety,law enforcement,pattern
LGBTQ+ Equality,LGBTQ+ rights,anchor term
LGBTQ+ Equality,lgbtq+ rights,pattern
Gender Equity,maternal health,anchor term
Gender Equity,maternal health,pattern
Gender Equity,maternity leave,anchor term
Gender Equity,maternity leave,pattern
Health Access,medicaid,anchor term
Health Access,medicaid,pattern
Health Access,medicare,anchor term
Health Access,medicare,pattern
Drug Pricing,medication costs,anchor term
Drug Pricing,medication costs,pattern
Drug Pricing,medication pricing,anchor term
Drug Pricing,medication pricing,pattern
Health Access,mental health access,anchor term
Health Access,mental health access,pattern
Immigration,migrant rights,anchor term
Immigration,migrant rights,pattern
Veterans' Rights,military,anchor term
Veterans' Rights,military,pattern
Economic Empowerment,minimum wage,anchor term
Economic Empowerment,minimum wage,pattern
Climate Change & Sustainability,natural disaster,anchor term
Climate Change & Sustainability,natural disaster,pattern
Climate Change & Sustainability,nature positive,anchor term
Climate Change & Sustainability,nature positive,pattern
Climate Change & Sustainability,net-zero,anchor term
Climate Change & Sustainability,net-zero,pattern
Disability Rights,neurodiversity,anchor term
Disability Rights,neurodiversity,pattern
Animal Welfare,No Antibiotics Ever,anchor term
Animal Welfare,no antibiotics ever,pattern
Nutrition & Food access,nutrition assistance,anchor term
Nutrition & Food access,nutrition assistance,pattern
Climate Change & Sustainability,ocean cleanup,anchor term
Climate Change & Sustainability,ocean cleanup,pattern
Crime & Safety,ORC,anchor term
Crime & Safety,orc,pattern
Crime & Safety,organized retail crime,anchor term
Crime & Safety,organized retail crime,pattern
Gender Equity,paid leave,anchor term
Gender Equity,paid leave,pattern
Gender Equity,parental leave,anchor term
Gender Equity,parental leave,pattern
Climate Change & Sustainability,Paris Agreement,anchor term
Climate Change & Sustainability,paris agreement,pattern
Immigration,pathway to citizenship,anchor term
Immigration,pathway to citizenship,pattern
Workers’ Rights,pensions,anchor term
Workers’ Rights,pensions,pattern
Workers’ Rights,personal time off,anchor term
Workers’ Rights,personal time off,pattern
Drug Pricing,pharmaceutical costs,anchor term
Drug Pricing,pharmaceutical costs,pattern
Drug Pricing,pharmaceutical pricing,anchor term
Drug Pricing,pharmaceutical pricing,pattern
Disability Rights,physical disability,anchor term
Disability Rights,physical disability,pattern
Climate Change & Sustainability,plastic waste,anchor term
Climate Change & Sustainability,plastic waste,pattern
Crime & Safety,police,anchor term
Crime & Safety,police,pattern
Religious & Political Diversity,political diversity,anchor term
Religious & Political Diversity,political diversity,pattern
Climate Change & Sustainability,pollution,anchor term
Climate Change & Sustainability,pollution,pattern
Animal Welfare,Pork housing,anchor term
Animal Welfare,pork housing,pattern
Drug Pricing,prescription drugs,anchor term
Drug Pricing,prescription drugs,pattern
LGBTQ+ Equality,pride,anchor term
LGBTQ+ Equality,pride,pattern
Health Access,public health,anchor term
Health Access,public health,pattern
Crime & Safety,public safety,anchor term
Crime & Safety,public safety,pattern
Racial Equity,racial justice,anchor term
Racial Equity,racial justice,pattern
Climate Change & Sustainability,recycling,anchor term
Climate Change & Sustainability,recycling,pattern
Immigration,refugees,anchor term
Immigration,refugees,pattern
Climate Change & Sustainability,regenerative agriculture,anchor term
Climate Change & Sustainability,regenerative agriculture,pattern
Religious & Political Diversity,religious freedom,anchor term
Religious & Political Diversity,religious freedom,pattern
Climate Change & Sustainability,renewable energy,anchor term
Climate Change & Sustainability,renewable energy,pattern
Reproductive Rights,reproductive healthcare,anchor term
Reproductive Rights,reproductive healthcare,pattern
Reproductive Rights,reproductive rights,anchor term
Reproductive Rights,reproductive rights,pattern
Crime & Safety,retail theft,anchor term
Crime & Safety,retail theft,pattern
Workers’ Rights,retirement benefits,anchor term
Workers’ Rights,retirement benefits,pattern
Health Access,rural healthcare,anchor term
Health Access,rural healthcare,pattern
Crime & Safety,safety,anchor term
Crime & Safety,safety,pattern
LGBTQ+ Equality,same-sex marriage,anchor term
LGBTQ+ Equality,same-sex marriage,pattern
Climate Change & Sustainability,scope 1,anchor term
Climate Change & Sustainability,scope 1,pattern
Climate Change & Sustainability,scope 2,anchor term
Climate Change & Sustainability,scope 2,pattern
Climate Change & Sustainability,scope 3,anchor term
Climate Change & Sustainability,scope 3,pattern
Disability Rights,sensory friendly,anchor term
Disability Rights,sensory friendly,pattern
Veterans' Rights,service members,anchor term
Veterans' Rights,service members,pattern
Crime & Safety,shoplifting,anchor term
Crime & Safety,shoplifting,pattern
Crime & Safety,shrink,anchor term
Crime & Safety,shrink,pattern
Economic Empowerment,small business support,anchor term
